#,This,file,was,produced,by,the,NASA,Exoplanet,Archive,,http://exoplanetarchive.ipac.caltech.edu,
#,Sun,Sep,19,09:21:02,2021,,,,,,,
#,,,,,,,,,,,,
#,User,ID:,,,,,,,,,clebersilva,
#,,,,,,,,,,,,
#,User,preference:,archive,defaults,,,,,,,,
#,,,,,,,,,,,,
#,COLUMN,kepid:,,,,,,,,,,KepID
#,COLUMN,tce_plnt_num:,,,Planet,Number,,,,,,
#,COLUMN,tcet_period:,,,,Orbital,Period,[days],,,,
#,COLUMN,tcet_period_err:,Orbital,Period,Unc.,[days],,,,,,
#,COLUMN,tcet_time0bk:,,,Transit,Epoch,[BKJD],,,,,
#,COLUMN,tcet_time0bk_err:,Transit,Epoch,Unc.,[BKJD],,,,,,
#,COLUMN,tcet_duration:,,Transit,Duration,[hrs],,,,,,
#,COLUMN,tcet_duration_err:,Transit,Duration,Unc.,[hrs],,,,,,
#,COLUMN,av_training_set:,Autovetter,Training,Set,Label,,,,,,
#,,,,,,,,,,,,
rowid,kepid,tce_plnt_num,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_duration,tce_duration_err,av_training_set,,,
97,2969638,1,1.973610,1.828190000e-05,131935,6.831770000e-03,3.2860,1.4940000e-01,AFP,,,
98,2554867,3,0.723860,9.648340000e-06,131837,1.724200000e-03,2.9670,2.3650000e+00,AFP,,,
99,2970670,1,0.947537,8.936990000e-06,131889,1.617430000e-03,1.0580,1.1280000e-01,UNK,,,
100,2970804,1,0.686988,5.613690000e-06,131667,9.490790000e-04,1.3010,1.8080000e-01,AFP,,,
101,2970804,2,2.021260,2.014740000e-05,133039,5.194260000e-03,6.8330,7.9670000e+00,UNK,,,
102,2971415,2,7.353890,1.147380000e-04,136198,1.204960000e-02,15.4500,2.3590000e+00,AFP,,,
103,2971415,3,3.677310,7.955840000e-05,134194,1.601890000e-02,10.8500,5.2160000e+00,UNK,,,
104,2972005,1,2.796660,2.445290000e-05,131880,6.086360000e-03,1.9570,4.5660000e-01,UNK,,,
105,2972005,2,4.195390,3.165520000e-04,134393,5.715450000e-02,14.3900,4.0630000e+00,UNK,,,
106,2693450,1,0.847716,9.313470000e-06,131731,2.868760000e-03,3.1720,1.6490000e+00,AFP,,,
107,2974815,1,0.731707,1.148980000e-05,131968,2.325680000e-03,1.0640,1.4680000e-01,UNK,,,
108,2974858,1,0.996298,2.068470000e-05,131835,5.897930000e-03,3.8030,7.9040000e+00,NTP,,,
109,2975770,1,71.525400,7.563590000e-05,191691,7.970810000e-04,5.9720,1.7120000e-01,PC,,,
110,2714955,1,0.982769,1.196310000e-05,132080,5.068270000e-03,5.3150,1.7580000e+01,NTP,,,
111,2984505,1,3.049490,2.148710000e-05,132692,4.112540000e-03,5.1350,1.0740000e+00,UNK,,,
112,2985022,1,0.581190,7.446580000e-06,131520,1.252670000e-03,1.9250,7.6060000e-01,UNK,,,
113,2985398,1,0.582576,1.314030000e-05,131682,2.312670000e-03,1.2510,4.3370000e-01,AFP,,,
114,2985398,2,0.581897,3.578770000e-05,132026,5.286490000e-03,0.6458,2.5770000e-01,AFP,,,
115,2985587,1,3.375720,7.927480000e-06,134213,1.319030000e-03,1.2930,2.5340000e-01,PC,,,
